Name_;Off. Snaps_Num;Receiving_Rec;Receiving_Tgt;Receiving_Y/R;Receiving_Y/Tgt;Receiving_Yds;ST Snaps_Num;Year;Week;Age;Tm;1;Opp;Injured Reserve;*;Inactive;COVID-19 List;Non-Football Injury;Physically Unable to Perform;Exempt List;Suspended;Did Not Play;Win?;Lose?;Tie?;Score-not-counted;Tm-Score;Opp-Score;Day;Month;Dk_Points;Salary;Feet;Inches;Weight(lbs);Last_Def_Total_YDS;Last_Def_Total_YDS/G;Last_Def_Passing_YDS;Last_Def_Passing_YDS/G;Last_Def_Rushing_YDS;Last_Def_Rushing_YDS/G;Last_Def_Points_PTS;Last_Def_PointsPTS/G;Last_Off_Total_YDS;Last_Off_Total_YDS/G;Last_Off_Passing_YDS;Last_Off_Passing_YDS/G;Last_Off_Rushing_YDS;Last_Off_Rushing_YDS/G;Last_Off_Points_PTS;Last_Off_PointsPTS/G
Fleener, Coby;42.0;1.0;1.0;7.0;7.0;7.0;0.0;2013.0;1.0;24.353;IND;0;OAK;0;0;0;0;0;0;0;0;0;1;0;0;0;21;17;8;9;0.0;0.0;0;0;0;5713;357.1;3711;231.9;2002;125.1;336;21.0;5468;341.8;3725;232.8;1743;108.9;391;24.4
Fleener, Coby;61.0;4.0;8.0;17.25;8.63;69.0;0.0;2013.0;2.0;24.36;IND;0;MIA;0;1;0;0;0;0;0;0;0;0;1;0;0;20;24;15;9;0.0;0.0;0;0;0;5713;357.1;3711;231.9;2002;125.1;336;21.0;5468;341.8;3725;232.8;1743;108.9;391;24.4
Fleener, Coby;49.0;2.0;2.0;6.5;6.5;13.0;0.0;2013.0;3.0;25.002;IND;@;SFO;0;0;0;0;0;0;0;0;0;1;0;0;0;27;7;22;9;0.0;0.0;0;0;0;5713;357.1;3711;231.9;2002;125.1;336;21.0;5468;341.8;3725;232.8;1743;108.9;391;24.4
Fleener, Coby;59.0;5.0;7.0;15.4;11.0;77.0;0.0;2013.0;4.0;25.009;IND;@;JAX;0;0;0;0;0;0;0;0;0;1;0;0;0;37;3;29;9;0.0;0.0;0;0;0;5713;357.1;3711;231.9;2002;125.1;336;21.0;5468;341.8;3725;232.8;1743;108.9;391;24.4
Fleener, Coby;58.0;2.0;3.0;7.5;5.0;15.0;0.0;2013.0;5.0;25.016;IND;0;SEA;0;1;0;0;0;0;0;0;0;1;0;0;0;34;28;6;10;0.0;0.0;0;0;0;5713;357.1;3711;231.9;2002;125.1;336;21.0;5468;341.8;3725;232.8;1743;108.9;391;24.4
Fleener, Coby;36.0;3.0;6.0;5.33;2.67;16.0;0.0;2013.0;6.0;25.024;IND;@;SDG;0;1;0;0;0;0;0;0;0;0;1;0;0;9;19;14;10;0.0;0.0;0;0;0;5713;357.1;3711;231.9;2002;125.1;336;21.0;5468;341.8;3725;232.8;1743;108.9;391;24.4
Fleener, Coby;49.0;5.0;5.0;7.6;7.6;38.0;0.0;2013.0;7.0;25.03;IND;0;DEN;0;1;0;0;0;0;0;0;0;1;0;0;0;39;33;20;10;0.0;0.0;0;0;0;5713;357.1;3711;231.9;2002;125.1;336;21.0;5468;341.8;3725;232.8;1743;108.9;391;24.4
Fleener, Coby;48.0;3.0;5.0;21.33;12.8;64.0;0.0;2013.0;9.0;25.044;IND;@;HOU;0;1;0;0;0;0;0;0;0;1;0;0;0;27;24;3;11;0.0;0.0;0;0;0;5713;357.1;3711;231.9;2002;125.1;336;21.0;5468;341.8;3725;232.8;1743;108.9;391;24.4
Fleener, Coby;56.0;4.0;10.0;8.25;3.3;33.0;0.0;2013.0;10.0;25.051;IND;0;STL;0;1;0;0;0;0;0;0;0;0;1;0;0;8;38;10;11;0.0;0.0;0;0;0;5713;357.1;3711;231.9;2002;125.1;336;21.0;5468;341.8;3725;232.8;1743;108.9;391;24.4
Fleener, Coby;54.0;8.0;10.0;13.38;10.7;107.0;0.0;2013.0;11.0;25.055;IND;@;TEN;0;0;0;0;0;0;0;0;0;1;0;0;0;30;27;14;11;0.0;0.0;0;0;0;5713;357.1;3711;231.9;2002;125.1;336;21.0;5468;341.8;3725;232.8;1743;108.9;391;24.4
Fleener, Coby;53.0;4.0;8.0;13.75;6.88;55.0;0.0;2013.0;12.0;25.065;IND;@;ARI;0;1;0;0;0;0;0;0;0;0;1;0;0;11;40;24;11;0.0;0.0;0;0;0;5713;357.1;3711;231.9;2002;125.1;336;21.0;5468;341.8;3725;232.8;1743;108.9;391;24.4
Fleener, Coby;55.0;3.0;5.0;16.67;10.0;50.0;0.0;2013.0;13.0;25.072;IND;0;TEN;0;1;0;0;0;0;0;0;0;1;0;0;0;22;14;1;12;0.0;0.0;0;0;0;5713;357.1;3711;231.9;2002;125.1;336;21.0;5468;341.8;3725;232.8;1743;108.9;391;24.4
Fleener, Coby;52.0;5.0;9.0;6.2;3.44;31.0;0.0;2013.0;14.0;25.079;IND;@;CIN;0;1;0;0;0;0;0;0;0;0;1;0;0;28;42;8;12;0.0;0.0;0;0;0;5713;357.1;3711;231.9;2002;125.1;336;21.0;5468;341.8;3725;232.8;1743;108.9;391;24.4
Fleener, Coby;57.0;0.0;1.0;0.0;0.0;0.0;0.0;2013.0;15.0;25.086;IND;0;HOU;0;1;0;0;0;0;0;0;0;1;0;0;0;25;3;15;12;0.0;0.0;0;0;0;5713;357.1;3711;231.9;2002;125.1;336;21.0;5468;341.8;3725;232.8;1743;108.9;391;24.4
Fleener, Coby;53.0;2.0;3.0;4.0;2.67;8.0;0.0;2013.0;16.0;25.093;IND;@;KAN;0;1;0;0;0;0;0;0;0;1;0;0;0;23;7;22;12;0.0;0.0;0;0;0;5713;357.1;3711;231.9;2002;125.1;336;21.0;5468;341.8;3725;232.8;1743;108.9;391;24.4
Fleener, Coby;35.0;1.0;4.0;25.0;6.25;25.0;0.0;2013.0;17.0;25.1;IND;0;JAX;0;1;0;0;0;0;0;0;0;1;0;0;0;30;10;29;12;0.0;0.0;0;0;0;5713;357.1;3711;231.9;2002;125.1;336;21.0;5468;341.8;3725;232.8;1743;108.9;391;24.4
Fleener, Coby;49.0;3.0;8.0;7.0;2.63;21.0;0.0;2014.0;1.0;25.352;IND;@;DEN;0;1;0;0;0;0;0;0;0;0;1;0;0;24;31;7;9;5.1;3700.0;0;0;0;5483;342.7;3669;229.3;1814;113.4;369;23.1;6506;406.6;4894;305.9;1612;100.8;458;28.6
Fleener, Coby;52.0;1.0;1.0;13.0;13.0;13.0;0.0;2014.0;2.0;25.36;IND;0;PHI;0;0;0;0;0;0;0;0;0;0;1;0;0;27;30;15;9;2.3;3000.0;0;0;0;5483;342.7;3669;229.3;1814;113.4;369;23.1;6506;406.6;4894;305.9;1612;100.8;458;28.6
