,Def Interceptions_Int,Def Interceptions_PD,Def Interceptions_TD,Def Interceptions_Yds,Def. Snaps_Num,Def. Snaps_Pct,Fumbles_FF,Fumbles_FL,Fumbles_FR,Fumbles_Fmb,Fumbles_TD,Fumbles_Yds,Kick Returns_Rt,Kick Returns_TD,Kick Returns_Y/Rt,Kick Returns_Yds,Name_,Off. Snaps_Num,Off. Snaps_Pct,Passing_AY/A,Passing_Att,Passing_Cmp,Passing_Cmp%,Passing_Int,Passing_Rate,Passing_Sk,Passing_TD,Passing_Y/A,Passing_Yds,Passing_Yds.1,Pos_,Punt Returns_Ret,Punt Returns_TD,Punt Returns_Y/R,Punt Returns_Yds,Receiving_Ctch%,Receiving_Rec,Receiving_TD,Receiving_Tgt,Receiving_Y/R,Receiving_Y/Tgt,Receiving_Yds,Rushing_Att,Rushing_TD,Rushing_Y/A,Rushing_Yds,ST Snaps_Num,ST Snaps_Pct,Scoring_2PM,Scoring_Pts,Scoring_TD,Tackles_Ast,Tackles_Comb,Tackles_QBHits,Tackles_Solo,Tackles_TFL,Unnamed: 0_level_0_Rk,Unnamed: 10_level_0_GS,Unnamed: 11_level_0_Sk,Unnamed: 15_level_0_Sk,Unnamed: 16_level_0_Status,Unnamed: 17_level_0_Status,Unnamed: 18_level_0_Sk,Unnamed: 18_level_0_Status,Unnamed: 1_level_0_Year,Unnamed: 20_level_0_Sk,Unnamed: 20_level_0_Status,Unnamed: 21_level_0_Sk,Unnamed: 21_level_0_Status,Unnamed: 22_level_0_Sk,Unnamed: 23_level_0_Status,Unnamed: 24_level_0_Sk,Unnamed: 24_level_0_Status,Unnamed: 25_level_0_Sk,Unnamed: 26_level_0_Sk,Unnamed: 26_level_0_Status,Unnamed: 27_level_0_Status,Unnamed: 28_level_0_Status,Unnamed: 29_level_0_Status,Unnamed: 2_level_0_Date,Unnamed: 30_level_0_Status,Unnamed: 31_level_0_Status,Unnamed: 32_level_0_Status,Unnamed: 33_level_0_Status,Unnamed: 34_level_0_Status,Unnamed: 35_level_0_Sk,Unnamed: 36_level_0_Status,Unnamed: 37_level_0_Status,Unnamed: 38_level_0_Status,Unnamed: 3_level_0_G#,Unnamed: 40_level_0_Status,Unnamed: 44_level_0_Status,Unnamed: 4_level_0_Week,Unnamed: 53_level_0_Status,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Tm,Unnamed: 7_level_0_Unnamed: 7_level_1,Unnamed: 8_level_0_Opp,Unnamed: 9_level_0_Result
0,,,,,0,0%,,,,,,,,,,,"Fleener, Coby",38,42%,,,,,,,,,,,,TE,,,,,60.0%,3,0,5,8.33,5.00,25,,,,,0,0%,,0,0,,,,,,1.0,*,,,,,,,2012.0,,,,,,,,,,,,,,,2013-01-06,,,,,,,,,,17.0,,,18.0,,24.108,IND,@,BAL,L 9-24
1,,,,,0,0%,,,,,,,,,,,"Fleener, Coby",62,94%,,,,,,,,,,,,TE,,,,,71.4%,5,1,7,9.20,6.57,46,,,,,0,0%,,6,1,,,,,,2.0,*,,,,,,,2013.0,,,,,,,,,,,,,,,2014-01-04,,,,,,,,,,17.0,,,18.0,,25.106,IND,,KAN,W 45-44
2,,,,,0,0%,,,,,,,,,,,"Fleener, Coby",53,82%,,,,,,,,,,,,TE,,,,,54.5%,6,0,11,12.33,6.73,74,,,,,0,0%,,0,0,,,,,,3.0,*,,,,,,,2013.0,,,,,,,,,,,,,,,2014-01-11,,,,,,,,,,18.0,,,19.0,,25.113,IND,@,NWE,L 22-43
3,,,,,0,0%,,,,,,,,,,,"Fleener, Coby",54,74%,,,,,,,,,,,,TE,,,,,50.0%,1,0,2,18.00,9.00,18,,,,,0,0%,,0,0,,,,,,4.0,*,,,,,,,2014.0,,,,,,,,,,,,,,,2015-01-04,,,,,,,,,,17.0,,,18.0,,26.106,IND,,CIN,W 26-10
4,,,,,0,0%,,,,,,,,,,,"Fleener, Coby",46,61%,,,,,,,,,,,,TE,,,,,50.0%,3,0,6,16.33,8.17,49,,,,,0,0%,,0,0,,,,,,5.0,*,,,,,,,2014.0,,,,,,,,,,,,,,,2015-01-11,,,,,,,,,,18.0,,,19.0,,26.113,IND,@,DEN,W 24-13
5,,,,,0,0%,,,,,,,,,,,"Fleener, Coby",44,79%,,,,,,,,,,,,TE,,,,,75.0%,3,0,4,10.00,7.50,30,,,,,0,0%,,0,0,,,,,,6.0,*,,,,,,,2014.0,,,,,,,,,,,,,,,2015-01-18,,,,,,,,,,19.0,,,20.0,,26.12,IND,@,NWE,L 7-45
6,,,,,Injured Reserve,Injured Reserve,,,,,,,,,,,"Fleener, Coby",Injured Reserve,Injured Reserve,,,,,,,,,,,,TE,,,,,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,,,,,Injured Reserve,Injured Reserve,,Injured Reserve,Injured Reserve,,,,,,7.0,Injured Reserve,,,,,,,2017.0,,,,,,,,,,,Injured Reserve,,,,2018-01-07,,,,,,,,,,,,,18.0,,,NOR,,CAR,W 31-26
7,,,,,Injured Reserve,Injured Reserve,,,,,,,,,,,"Fleener, Coby",Injured Reserve,Injured Reserve,,,,,,,,,,,,TE,,,,,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,,,,,Injured Reserve,Injured Reserve,,Injured Reserve,Injured Reserve,,,,,,8.0,Injured Reserve,,,,,,,2017.0,,,,,,,,,,,Injured Reserve,,,,2018-01-14,,,,,,,,,,,,,19.0,,,NOR,@,MIN,L 24-29
8,,,,,,,,,,,,,,,,,"Fleener, Coby",,,,,,,,,,,,,,TE,,,,,60.0%,21,1,35,11.52,6.91,242,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 Games,,,,,,,,,,,,,,,,,,,3-3-0
9,,,,,0,0%,,,,,,,,,,,"Clay, Charles",37,48%,,,,,,,,,,,,TE,,,,,60.0%,3,0,5,5.0,3.0,15,,,,,0,0%,,,,,,,,,1.0,*,,,,,,,2017.0,,,,,,,,,,,,,,,2018-01-07,,,,,,,,,,17.0,,,18.0,,28.328,BUF,@,JAX,L 3-10
