,Def Interceptions_Int,Def Interceptions_PD,Def Interceptions_TD,Def Interceptions_Yds,Def. Snaps_Num,Def. Snaps_Pct,Fumbles_FF,Fumbles_FL,Fumbles_FR,Fumbles_Fmb,Fumbles_TD,Fumbles_Yds,Kick Returns_Rt,Kick Returns_TD,Kick Returns_Y/Rt,Kick Returns_Yds,Name_,Off. Snaps_Num,Off. Snaps_Pct,Passing_AY/A,Passing_Att,Passing_Cmp,Passing_Cmp%,Passing_Int,Passing_Rate,Passing_Sk,Passing_TD,Passing_Y/A,Passing_Yds,Passing_Yds.1,Pos_,Punt Returns_Ret,Punt Returns_TD,Punt Returns_Y/R,Punt Returns_Yds,Receiving_Ctch%,Receiving_Rec,Receiving_TD,Receiving_Tgt,Receiving_Y/R,Receiving_Y/Tgt,Receiving_Yds,Rushing_Att,Rushing_TD,Rushing_Y/A,Rushing_Yds,ST Snaps_Num,ST Snaps_Pct,Scoring_2PM,Scoring_Pts,Scoring_Sfty,Scoring_TD,Tackles_Ast,Tackles_Comb,Tackles_QBHits,Tackles_Solo,Tackles_TFL,Unnamed: 0_level_0_Rk,Unnamed: 10_level_0_GS,Unnamed: 10_level_0_Sk,Unnamed: 11_level_0_Sk,Unnamed: 14_level_0_Sk,Unnamed: 15_level_0_Sk,Unnamed: 15_level_0_Status,Unnamed: 17_level_0_Status,Unnamed: 18_level_0_Sk,Unnamed: 18_level_0_Status,Unnamed: 19_level_0_Sk,Unnamed: 19_level_0_Status,Unnamed: 1_level_0_Year,Unnamed: 20_level_0_Sk,Unnamed: 20_level_0_Status,Unnamed: 21_level_0_Sk,Unnamed: 21_level_0_Status,Unnamed: 22_level_0_Sk,Unnamed: 22_level_0_Status,Unnamed: 23_level_0_Status,Unnamed: 24_level_0_Sk,Unnamed: 24_level_0_Status,Unnamed: 25_level_0_Status,Unnamed: 26_level_0_Sk,Unnamed: 26_level_0_Status,Unnamed: 27_level_0_Status,Unnamed: 28_level_0_Sk,Unnamed: 28_level_0_Status,Unnamed: 29_level_0_Status,Unnamed: 2_level_0_Date,Unnamed: 30_level_0_Status,Unnamed: 31_level_0_Status,Unnamed: 32_level_0_Sk,Unnamed: 32_level_0_Status,Unnamed: 33_level_0_Status,Unnamed: 34_level_0_Status,Unnamed: 35_level_0_Status,Unnamed: 36_level_0_Status,Unnamed: 37_level_0_Status,Unnamed: 38_level_0_Status,Unnamed: 3_level_0_G#,Unnamed: 40_level_0_Status,Unnamed: 41_level_0_Status,Unnamed: 42_level_0_Status,Unnamed: 43_level_0_Sk,Unnamed: 43_level_0_Status,Unnamed: 44_level_0_Status,Unnamed: 45_level_0_Status,Unnamed: 46_level_0_Status,Unnamed: 47_level_0_Status,Unnamed: 4_level_0_Week,Unnamed: 50_level_0_Status,Unnamed: 56_level_0_Status,Unnamed: 5_level_0_Age,Unnamed: 61_level_0_Status,Unnamed: 6_level_0_Tm,Unnamed: 7_level_0_Unnamed: 7_level_1,Unnamed: 8_level_0_Opp,Unnamed: 9_level_0_Result
0,,,,,,,,,,,,,,,,,"Decker, Eric",,,,,,,,,,,,,,WR,0,0,,0,0.0%,0,0,1,,0.00,0,1,0,9.00,9,,,,0,,0,,,,,,1.0,*,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2012-01-08,,,,,,,,,,,17.0,,,,,,,,,,18.0,,,24.299,,DEN,,PIT,W 29-23
1,,,,,Inactive,Inactive,,,,,,,,,,,"Decker, Eric",Inactive,Inactive,,,,,,,,,,,,WR,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,Inactive,,Inactive,,,,,,2.0,Inactive,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2012-01-14,,,,,,Inactive,,,,,,,,,,,,,,,19.0,,,,,DEN,@,NWE,L 10-45
2,,,,,0,0%,,,,,,,,,,,"Decker, Eric",92,98%,,,,,,,,,,,,WR,0,0,,0,60.0%,6,0,10,14.00,8.40,84,0,0,,0,0,0%,,0,,0,,,,,,3.0,*,,,,,,,,,,,2012.0,,,,,,,,,,,,,,,,,2013-01-12,,,,,,,,,,,17.0,,,,,,,,,,19.0,,,25.303,,DEN,,BAL,L 35-38
3,,,,,0,0%,,,,,,,,,,,"Decker, Eric",69,96%,,,,,,,,,,,,WR,3,0,22.00,66,40.0%,2,0,5,16.00,6.40,32,0,0,,0,6,27%,,0,,0,,,,,,4.0,*,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,2014-01-12,,,,,,,,,,,17.0,,,,,,,,,,19.0,,,26.303,,DEN,,SDG,W 24-17
4,,,,,0,0%,,,,,,,,,,,"Decker, Eric",68,89%,,,,,,,,,,,,WR,0,0,,0,62.5%,5,0,8,14.60,9.13,73,0,0,,0,5,22%,,0,,0,,,,,,5.0,*,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,2014-01-19,,,,,,,,,,,18.0,,,,,,,,,,20.0,,,26.31,,DEN,,NWE,W 26-16
5,,,,,0,0%,,,,,,,,,,,"Decker, Eric",69,100%,,,,,,,,,,,,WR,1,0,9.00,9,20.0%,1,0,5,6.00,1.20,6,0,0,,0,1,5%,,0,,0,,,,,,6.0,*,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,2014-02-02,,,,,,,,,,,19.0,,,,,,,,,,21.0,,,26.324,,DEN,N,SEA,L 8-43
6,,,,,0,0%,,,,,,,,,,,"Decker, Eric",54,77%,,,,,,,,,,,,WR,0,0,,0,40.0%,2,1,5,10.50,4.20,21,0,0,,0,0,0%,,6,,1,,,,,,7.0,,,,,,,,,,,,2017.0,,,,,,,,,,,,,,,,,2018-01-06,,,,,,,,,,,17.0,,,,,,,,,,18.0,,,30.297,,TEN,@,KAN,W 22-21
7,,,,,0,0%,,,,,,,,,,,"Decker, Eric",56,84%,,,,,,,,,,,,WR,0,0,,0,85.7%,6,0,7,14.17,12.14,85,0,0,,0,0,0%,,0,,0,,,,,,8.0,*,,,,,,,,,,,2017.0,,,,,,,,,,,,,,,,,2018-01-13,,,,,,,,,,,18.0,,,,,,,,,,19.0,,,30.304,,TEN,@,NWE,L 14-35
8,,,,,,,,,,,,,,,,,"Decker, Eric",,,,,,,,,,,,,,WR,4,0,18.75,75,53.7%,22,1,41,13.68,7.34,301,1,0,9.00,9,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-3-0
9,,,,,0,0%,,,,,,,2,0,24.00,48,"Beckham Jr., Odell",65,100%,,0,0,,0,,0,0,,0,0,WR,,,,,36.4%,4,0,11,7.00,2.55,28,,,,,3,9%,,0,,0,,,,,,1.0,*,,,,,,,,,,,2016.0,,,,,,,,,,,,,,,,,2017-01-08,,,,,,,,,,,17.0,,,,,,,,,,18.0,,,24.064,,NYG,@,GNB,L 13-38
