Player,Pos,Team,Num,Height,Weight,DOB
"Abanikanda, Israel",RB,NYJ,25,"5'11""",215 lbs,10/5/02
"Abdullah, Ameer",RB,LV,22,"5'9""",203 lbs,6/13/93
"Abdullah, Yasir",LB,JAC,56,"6'1""",234 lbs,4/12/00
"Achane, Devon",RB,MIA,28,"5'9""",188 lbs,10/13/01
"Adams, Davante",WR,LV,17,"6'1""",215 lbs,12/24/92
"Adams, Jamal",S,SEA,33,"6'1""",213 lbs,10/17/95
"Adams, Matthew",LB,CLE,40,"6'0""",230 lbs,12/12/95
"Adams, Montravius",DT,PIT,57,"6'4""",304 lbs,7/24/95
"Adams, Myles",DT,SEA,95,"6'2""",290 lbs,3/9/98
"Adams, Tony",S,NYJ,22,"6'0""",205 lbs,1/24/99
"Addison, Jordan",WR,MIN,3,"5'11""",175 lbs,1/27/02
"Adebawore, Adetomiwa",DE,IND,95,"6'2""",282 lbs,3/4/01
"Adebo, Paulson",CB,NO,29,"6'1""",192 lbs,7/3/99
"Adkins, Nate",TE,DEN,45,"6'3""",252 lbs,7/9/99
"Adomitis, Cal",LS,CIN,48,"6'2""",238 lbs,7/9/98
"Agholor, Nelson",WR,BAL,15,"6'0""",200 lbs,5/24/93
"Agnew, Jamal",WR,JAC,39,"5'10""",190 lbs,4/3/95
"Ahmed, Salvon",RB,MIA,26,"5'11""",197 lbs,12/29/98
"Aiyuk, Brandon",WR,SF,11,"6'0""",200 lbs,3/17/98
"Akers, Cam",RB,LAR,3,"5'10""",217 lbs,6/22/99
"Akins, Jordan",TE,CLE,84,"6'4""",245 lbs,4/19/92
"Alexander, Jaire",CB,GB,23,"5'10""",196 lbs,2/9/97
"Alexander, Kwon",LB,PIT,54,"6'1""",227 lbs,8/3/94
"Alford, Dee",CB,ATL,20,"5'11""",175 lbs,11/5/97
"Ali, Josh",WR,ATL,80,"6'0""",200 lbs,3/3/99
"Alie-Cox, Mo",TE,IND,81,"6'5""",267 lbs,9/19/93
"Allegretti, Nick",G,KC,73,"6'4""",310 lbs,4/21/96
"Allen, Brandon",QB,SF,17,"6'2""",209 lbs,9/5/92
"Allen, Brian",OL,LAR,55,"6'2""",303 lbs,10/11/95
"Allen, Davis",TE,LAR,87,"6'6""",245 lbs,2/3/01
"Allen, Jonathan",DT,WAS,93,"6'3""",300 lbs,1/16/95
"Allen, Josh",QB,BUF,17,"6'5""",237 lbs,5/21/96
"Allen, Josh",LB,JAC,41,"6'5""",255 lbs,7/13/97
"Allen, Keenan",WR,LAC,13,"6'2""",211 lbs,4/27/92
"Allen, Kyle",QB,BUF,9,"6'3""",210 lbs,3/8/96
"Allen, Zach",DE,DEN,99,"6'5""",285 lbs,8/20/97
"Allgeier, Tyler",RB,ATL,25,"5'11""",220 lbs,4/15/00
"Al-Shaair, Azeez",LB,TEN,2,"6'2""",228 lbs,8/4/97
"Amadi, Ugo",S,NO,0,"5'9""",201 lbs,5/17/97
"Amos, Adrian",S,NYJ,0,"6'0""",218 lbs,4/29/93
"Anae, Bradlee",DL,NYJ,50,"6'3""",260 lbs,1/17/98
"Anchrum Jr., Tremayne",OL,LAR,72,"6'2""",314 lbs,6/24/98
"Andersen, Troy",LB,ATL,44,"6'4""",235 lbs,4/23/99
"Anderson, Abdullah",DL,WAS,92,"6'4""",295 lbs,1/24/96
"Anderson, Alec",OT,BUF,70,"6'5""",305 lbs,10/3/99
"Anderson, Calvin",OL,NE,76,"6'5""",305 lbs,3/25/96
"Anderson, Henry",DE,CAR,94,"6'6""",300 lbs,8/3/91
"Anderson, Spencer",OL,PIT,74,"6'5""",305 lbs,6/7/00
"Anderson, Tycen",S,CIN,26,"6'2""",209 lbs,6/13/99
"Anderson, Zayne",S,GB,39,"6'2""",206 lbs,1/3/97
"Anderson Jr., Will",DE,HOU,51,"6'4""",243 lbs,9/2/01
"Andrews, David",C,NE,60,"6'3""",300 lbs,7/10/92
"Andrews, Jake",C,NE,67,"6'3""",308 lbs,11/11/99
"Andrews, Mark",TE,BAL,89,"6'5""",247 lbs,9/6/95
"Anger, Bryan",P,DAL,5,"6'3""",202 lbs,10/6/88
"Anudike-Uzomah, Felix",DE,KC,97,"6'4""",255 lbs,1/24/02
"Anzalone, Alex",LB,DET,34,"6'3""",238 lbs,9/22/94
"Apke, Troy",CB,WAS,30,"6'1""",205 lbs,4/11/95
"Apple, Eli",CB,MIA,33,"6'1""",203 lbs,8/9/95
"Armour-Davis, Jalyn",CB,BAL,5,"6'1""",197 lbs,9/3/99
"Armstead, Arik",DL,SF,91,"6'7""",290 lbs,11/15/93
"Armstead, Terron",OT,MIA,72,"6'5""",305 lbs,7/23/91
"Armstrong, Dorance",DE,DAL,92,"6'4""",255 lbs,6/10/97
"Arnold, Grayland",S,HOU,25,"5'10""",187 lbs,9/4/97
"Asamoah II, Brian",LB,MIN,33,"6'0""",226 lbs,3/29/00
"Atwell, Tutu",WR,LAR,5,"5'9""",165 lbs,10/7/99
"Aubrey, Brandon",K,DAL,17,"6'3""",208 lbs,3/14/95
"Aumavae-Laulu, Malaesala",G,BAL,71,"6'5""",325 lbs,5/25/99
"Austin, Alex",CB,HOU,27,"6'1""",191 lbs,5/22/01
"Austin III, Calvin",WR,PIT,19,"5'9""",162 lbs,3/24/99
"Autry, Denico",DL,TEN,96,"6'5""",285 lbs,7/15/90
"Avery, Genard",DE,IND,92,"6'0""",250 lbs,4/26/95
"Avery, Tre",CB,TEN,23,"5'11""",181 lbs,2/26/97
"Avila, Esteban",G,LAR,73,"6'3""",332 lbs,10/16/99
"Awuzie, Chidobe",CB,CIN,22,"6'0""",202 lbs,5/24/95
"Bachie, Joe",LB,CIN,49,"6'2""",235 lbs,2/26/98
"Bada, David",DT,WAS,64,"6'4""",293 lbs,4/24/95
"Bagent, Tyson",QB,CHI,17,"6'3""",213 lbs,6/8/00
"Bailey, Jake",P,MIA,16,"6'2""",214 lbs,6/18/97
"Bailey, Markus",LB,CIN,51,"6'1""",235 lbs,3/7/97
"Bailey, Quinn",OT,DEN,75,"6'6""",323 lbs,10/18/95
"Baker, Budda",S,ARI,3,"5'10""",195 lbs,1/10/96
"Baker, Jerome",LB,MIA,55,"6'2""",225 lbs,12/25/96
"Baker Jr., Darrell",CB,IND,39,"6'1""",190 lbs,3/27/98
"Bakhtiari, David",OT,GB,69,"6'4""",310 lbs,9/30/91
"Ball, Josh",OT,DAL,75,"6'8""",304 lbs,5/15/98
"Banks, Aaron",OL,SF,65,"6'5""",325 lbs,9/3/97
"Banks, Deonte",CB,NYG,25,"6'2""",205 lbs,3/3/01
"Baringer, Bryce",P,NE,17,"6'3""",215 lbs,4/26/99
"Barkley, Saquon",RB,NYG,26,"6'0""",232 lbs,2/9/97
"Barmore, Christian",DL,NE,90,"6'5""",315 lbs,7/28/99
