TEAM,GP,Total_YDS,Total_YDS/G,Passing_YDS,Passing_YDS/G,Rushing_YDS,Rushing_YDS/G,Points_PTS,PointsPTS/G,Year
ATL,16,"6,070",379.4,"3,897",243.6,"2,173",135.8,443,27.7,2013
BUF,16,"5,334",333.4,"3,271",204.4,"2,063",128.9,388,24.3,2013
CHI,16,"6,313",394.6,"3,730",233.1,"2,583",161.4,478,29.9,2013
CIN,16,"4,888",305.5,"3,344",209,"1,544",96.5,305,19.1,2013
CLE,16,"5,319",332.4,"3,538",221.1,"1,781",111.3,406,25.4,2013
DAL,16,"6,645",415.3,"4,589",286.8,"2,056",128.5,432,27,2013
DEN,16,"5,696",356,"4,070",254.4,"1,626",101.6,399,24.9,2013
DET,16,"5,546",346.6,"3,950",246.9,"1,596",99.8,376,23.5,2013
GNB,16,"5,956",372.3,"3,956",247.3,"2,000",125,428,26.8,2013
TEN,16,"5,407",337.9,"3,612",225.8,"1,795",112.2,381,23.8,2013
IND,16,"5,713",357.1,"3,711",231.9,"2,002",125.1,336,21,2013
KAN,16,"5,885",367.8,"3,962",247.6,"1,923",120.2,305,19.1,2013
LVR,16,"5,819",363.7,"4,092",255.8,"1,727",107.9,453,28.3,2013
LAR,16,"5,520",345,"3,874",242.1,"1,646",102.9,364,22.8,2013
MIA,16,"5,750",359.4,"3,752",234.5,"1,998",124.9,335,20.9,2013
MIN,16,"6,362",397.6,"4,595",287.2,"1,767",110.4,480,30,2013
NWE,16,"5,969",373.1,"3,824",239,"2,145",134.1,338,21.1,2013
NOR,16,"4,891",305.7,"3,105",194.1,"1,786",111.6,304,19,2013
NYG,16,"5,316",332.3,"3,573",223.3,"1,743",108.9,383,23.9,2013
NYJ,16,"5,359",334.9,"3,947",246.7,"1,412",88.3,387,24.2,2013
PHI,16,"6,304",394,"4,636",289.8,"1,668",104.3,382,23.9,2013
ARI,16,"5,079",317.4,"3,728",233,"1,351",84.4,324,20.3,2013
PIT,16,"5,402",337.6,"3,553",222.1,"1,849",115.6,370,23.1,2013
LAC,16,"5,864",366.5,"4,139",258.7,"1,725",107.8,348,21.8,2013
SFO,16,"5,071",316.9,"3,536",221,"1,535",95.9,272,17,2013
SEA,16,"4,378",273.6,"2,752",172,"1,626",101.6,231,14.4,2013
TAM,16,"5,568",348,"3,806",237.9,"1,762",110.1,389,24.3,2013
WAS,16,"5,665",354.1,"3,896",243.5,"1,769",110.6,478,29.9,2013
CAR,16,"4,820",301.3,"3,429",214.3,"1,391",86.9,241,15.1,2013
JAX,16,"6,070",379.4,"3,962",247.6,"2,108",131.8,449,28.1,2013
BAL,16,"5,368",335.5,"3,681",230.1,"1,687",105.4,352,22,2013
HOU,16,"5,081",317.6,"3,123",195.2,"1,958",122.4,428,26.8,2013
ATL,16,"6,372",398.3,"4,478",279.9,"1,894",118.4,417,26.1,2014
BUF,16,"4,995",312.2,"3,292",205.8,"1,703",106.4,289,18.1,2014
CHI,16,"6,033",377.1,"4,230",264.4,"1,803",112.7,442,27.6,2014
CIN,16,"5,749",359.3,"3,888",243,"1,861",116.3,344,21.5,2014
CLE,16,"5,857",366.1,"3,592",224.5,"2,265",141.6,337,21.1,2014
DAL,16,"5,681",355.1,"4,031",251.9,"1,650",103.1,352,22,2014
DEN,16,"4,883",305.2,"3,607",225.4,"1,276",79.8,354,22.1,2014
DET,16,"4,815",300.9,"3,706",231.6,"1,109",69.3,282,17.6,2014
GNB,16,"5,542",346.4,"3,623",226.4,"1,919",119.9,348,21.8,2014
TEN,16,"5,968",373,"3,773",235.8,"2,195",137.2,438,27.4,2014
IND,16,"5,483",342.7,"3,669",229.3,"1,814",113.4,369,23.1,2014
KAN,16,"5,288",330.5,"3,252",203.3,"2,036",127.3,281,17.6,2014
LVR,16,"5,721",357.6,"3,810",238.1,"1,911",119.4,452,28.3,2014
LAR,16,"5,626",351.6,"3,861",241.3,"1,765",110.3,354,22.1,2014
MIA,16,"5,494",343.4,"3,557",222.3,"1,937",121.1,373,23.3,2014
MIN,16,"5,515",344.7,"3,572",223.3,"1,943",121.4,343,21.4,2014
NWE,16,"5,506",344.1,"3,837",239.8,"1,669",104.3,313,19.6,2014
NOR,16,"6,144",384,"4,019",251.2,"2,125",132.8,424,26.5,2014
NYG,16,"6,012",375.8,"3,850",240.6,"2,162",135.1,400,25,2014
NYJ,16,"5,235",327.2,"3,746",234.1,"1,489",93.1,401,25.1,2014
