TEAM,GP,Total_YDS,Total_YDS/G,Passing_YDS,Passing_YDS/G,Rushing_YDS,Rushing_YDS/G,Points_PTS,PointsPTS/G,Year
ATL,16,"6,051",378.2,"4,553",284.6,"1,498",93.6,381,23.8,2014
BUF,16,"5,096",318.5,"3,614",225.9,"1,482",92.6,343,21.4,2014
CHI,16,"5,233",327.1,"3,792",237,"1,441",90.1,319,19.9,2014
CIN,16,"5,568",348,"3,421",213.8,"2,147",134.2,365,22.8,2014
CLE,16,"5,193",324.6,"3,465",216.6,"1,728",108,299,18.7,2014
DAL,16,"6,138",383.6,"3,784",236.5,"2,354",147.1,467,29.2,2014
DEN,16,"6,446",402.9,"4,661",291.3,"1,785",111.6,482,30.1,2014
DET,16,"5,452",340.8,"4,030",251.9,"1,422",88.9,321,20.1,2014
GNB,16,"6,178",386.1,"4,261",266.3,"1,917",119.8,486,30.4,2014
TEN,16,"4,859",303.7,"3,412",213.3,"1,447",90.4,254,15.9,2014
IND,16,"6,506",406.6,"4,894",305.9,"1,612",100.8,458,28.6,2014
KAN,16,"5,100",318.8,"3,182",198.9,"1,918",119.9,353,22.1,2014
LVR,16,"4,515",282.2,"3,275",204.7,"1,240",77.5,253,15.8,2014
LAR,16,"5,035",314.7,"3,400",212.5,"1,635",102.2,324,20.3,2014
MIA,16,"5,601",350.1,"3,729",233.1,"1,872",117,388,24.3,2014
MIN,16,"5,048",315.5,"3,244",202.8,"1,804",112.8,325,20.3,2014
NWE,16,"5,848",365.5,"4,121",257.6,"1,727",107.9,468,29.3,2014
NOR,16,"6,582",411.4,"4,764",297.8,"1,818",113.6,401,25.1,2014
NYG,16,"5,875",367.2,"4,272",267,"1,603",100.2,380,23.8,2014
NYJ,16,"5,226",326.6,"2,946",184.1,"2,280",142.5,283,17.7,2014
PHI,16,"6,348",396.8,"4,356",272.3,"1,992",124.5,474,29.6,2014
ARI,16,"5,116",319.8,"3,808",238,"1,308",81.8,310,19.4,2014
PIT,16,"6,577",411.1,"4,825",301.6,"1,752",109.5,436,27.3,2014
LAC,16,"5,465",341.6,"4,098",256.1,"1,367",85.4,348,21.8,2014
SFO,16,"5,239",327.4,"3,063",191.4,"2,176",136,306,19.1,2014
SEA,16,"6,012",375.8,"3,250",203.1,"2,762",172.6,394,24.6,2014
TAM,16,"4,672",292,"3,297",206.1,"1,375",85.9,277,17.3,2014
WAS,16,"5,738",358.6,"4,047",252.9,"1,691",105.7,301,18.8,2014
CAR,16,"5,547",346.7,"3,511",219.4,"2,036",127.3,339,21.2,2014
JAX,16,"4,634",289.6,"3,001",187.6,"1,633",102.1,249,15.6,2014
BAL,16,"5,838",364.9,"3,819",238.7,"2,019",126.2,409,25.6,2014
HOU,16,"5,513",344.6,"3,352",209.5,"2,161",135.1,372,23.3,2014
ATL,16,"5,990",374.4,"4,379",273.7,"1,611",100.7,339,21.2,2015
BUF,16,"5,775",360.9,"3,343",208.9,"2,432",152,379,23.7,2015
CHI,16,"5,514",344.6,"3,663",228.9,"1,851",115.7,335,20.9,2015
CIN,16,"5,728",358,"3,923",245.2,"1,805",112.8,419,26.2,2015
CLE,16,"5,311",331.9,"3,782",236.4,"1,529",95.6,278,17.4,2015
DAL,16,"5,361",335.1,"3,471",216.9,"1,890",118.1,275,17.2,2015
DEN,16,"5,688",355.5,"3,970",248.1,"1,718",107.4,355,22.2,2015
DET,16,"5,547",346.7,"4,212",263.3,"1,335",83.4,358,22.4,2015
GNB,16,"5,353",334.6,"3,503",218.9,"1,850",115.6,368,23,2015
TEN,16,"4,988",311.8,"3,503",218.9,"1,485",92.8,299,18.7,2015
IND,16,"5,142",321.4,"3,704",231.5,"1,438",89.9,333,20.8,2015
KAN,16,"5,299",331.2,"3,255",203.4,"2,044",127.8,405,25.3,2015
LVR,16,"5,336",333.5,"3,879",242.4,"1,457",91.1,359,22.4,2015
LAR,16,"4,761",297.6,"2,805",175.3,"1,956",122.3,280,17.5,2015
MIA,16,"5,307",331.7,"3,811",238.2,"1,496",93.5,310,19.4,2015
MIN,16,"5,139",321.2,"2,928",183,"2,211",138.2,365,22.8,2015
NWE,16,"5,991",374.4,"4,587",286.7,"1,404",87.8,465,29.1,2015
NOR,16,"6,461",403.8,"4,970",310.6,"1,491",93.2,408,25.5,2015
NYG,16,"5,956",372.3,"4,347",271.7,"1,609",100.6,420,26.3,2015
NYJ,16,"5,925",370.3,"4,057",253.6,"1,868",116.8,387,24.2,2015
PHI,16,"5,830",364.4,"4,087",255.4,"1,743",108.9,377,23.6,2015
ARI,16,"6,533",408.3,"4,616",288.5,"1,917",119.8,489,30.6,2015
PIT,16,"6,327",395.4,"4,603",287.7,"1,724",107.8,423,26.4,2015
LAC,16,"5,949",371.8,"4,591",286.9,"1,358",84.9,320,20,2015
SFO,16,"4,860",303.8,"3,316",207.3,"1,544",96.5,238,14.9,2015
SEA,16,"6,058",378.6,"3,790",236.9,"2,268",141.8,423,26.4,2015
TAM,16,"6,014",375.9,"3,852",240.8,"2,162",135.1,342,21.4,2015
WAS,16,"5,661",353.8,"4,095",255.9,"1,566",97.9,388,24.3,2015
CAR,16,"5,871",366.9,"3,589",224.3,"2,282",142.6,500,31.3,2015
JAX,16,"5,581",348.8,"4,108",256.8,"1,473",92.1,376,23.5,2015
BAL,16,"5,749",359.3,"4,271",266.9,"1,478",92.4,328,20.5,2015
HOU,16,"5,564",347.8,"3,833",239.6,"1,731",108.2,339,21.2,2015
ATL,16,"6,653",415.8,"4,725",295.3,"1,928",120.5,540,33.8,2016
BUF,16,"5,666",354.1,"3,036",189.8,"2,630",164.4,399,24.9,2016
CHI,16,"5,704",356.5,"3,969",248.1,"1,735",108.4,279,17.4,2016
CIN,16,"5,711",356.9,"3,942",246.4,"1,769",110.6,325,20.3,2016
CLE,16,"4,976",311,"3,264",204,"1,712",107,264,16.5,2016
DAL,16,"6,027",376.7,"3,631",226.9,"2,396",149.8,421,26.3,2016
DEN,16,"5,169",323.1,"3,685",230.3,"1,484",92.8,333,20.8,2016
DET,16,"5,421",338.8,"4,111",256.9,"1,310",81.9,346,21.6,2016
GNB,16,"5,900",368.8,"4,199",262.4,"1,701",106.3,432,27,2016
TEN,16,"5,728",358,"3,541",221.3,"2,187",136.7,381,23.8,2016
IND,16,"5,830",364.4,"4,202",262.6,"1,628",101.8,411,25.7,2016
KAN,16,"5,488",343,"3,740",233.8,"1,748",109.3,389,24.3,2016
LVR,16,"5,973",373.3,"4,051",253.2,"1,922",120.1,416,26,2016
LAR,16,"4,203",262.7,"2,951",184.4,"1,252",78.3,224,14,2016
MIA,16,"5,324",332.8,"3,500",218.8,"1,824",114,363,22.7,2016
MIN,16,"5,041",315.1,"3,836",239.8,"1,205",75.3,327,20.4,2016
NWE,16,"6,180",386.3,"4,308",269.3,"1,872",117,441,27.6,2016
NOR,16,"6,816",426,"5,074",317.1,"1,742",108.9,469,29.3,2016
NYG,16,"5,291",330.7,"3,879",242.4,"1,412",88.3,310,19.4,2016
NYJ,16,"5,268",329.3,"3,466",216.6,"1,802",112.6,275,17.2,2016
PHI,16,"5,398",337.4,"3,585",224.1,"1,813",113.3,367,22.9,2016
ARI,16,"5,868",366.8,"4,136",258.5,"1,732",108.3,418,26.1,2016
PIT,16,"5,962",372.6,"4,202",262.6,"1,760",110,399,24.9,2016
LAC,16,"5,708",356.8,"4,198",262.4,"1,510",94.4,410,25.6,2016
SFO,16,"4,930",308.1,"2,911",181.9,"2,019",126.2,309,19.3,2016
SEA,16,"5,715",357.2,"4,124",257.8,"1,591",99.4,354,22.1,2016
TAM,16,"5,542",346.4,"3,926",245.4,"1,616",101,354,22.1,2016
