Name;Info
Smith, Geno;6-3, 221lb (190cm, 100kg) 
Rodgers, Aaron;6-2, 225lb (188cm, 102kg) 
Flacco, Joe;6-6, 245lb (198cm, 111kg) 
Manning, Eli;6-5, 220lb (196cm, 99kg) 
Stafford, Matthew;6-3, 220lb (190cm, 99kg) 
Kaepernick, Colin;6-4, 225lb (193cm, 102kg) 
Roethlisberger, Ben;6-5, 240lb (196cm, 108kg) 
Sanchez, Mark;6-2, 232lb (188cm, 105kg) 
Lindley, Ryan;6-3, 229lb (190cm, 103kg) 
Newton, Cam;6-5, 245lb (196cm, 111kg) 
Romo, Tony;6-2, 230lb (188cm, 104kg) 
Keenum, Case;6-1, 215lb (185cm, 97kg) 
Dalton, Andy;6-2, 219lb (188cm, 99kg) 
Luck, Andrew;6-4, 240lb (193cm, 108kg) 
Tannehill, Ryan;6-4, 217lb (193cm, 98kg) 
Bridgewater, Teddy;6-2, 215lb (188cm, 97kg) 
Brees, Drew;6-0, 209lb (183cm, 94kg) 
Cutler, Jay;6-3, 231lb (190cm, 104kg) 
Bortles, Blake;6-5, 236lb (196cm, 107kg) 
Orton, Kyle;6-4, 228lb (193cm, 103kg) 
Manning, Peyton;6-5, 230lb (196cm, 104kg) 
Hasselbeck, Matt;6-4, 235lb (193cm, 106kg) 
Wilson, Russell;5-11, 215lb (180cm, 97kg) 
Ryan, Matt;6-4, 217lb (193cm, 98kg) 
Carr, Derek;6-3, 240lb (190cm, 108kg) 
Rivers, Philip;6-5, 228lb (196cm, 103kg) 
Daniel, Chase;6-0, 218lb (183cm, 98kg) 
Hill, Shaun;6-3, 230lb (190cm, 104kg) 
Osweiler, Brock;6-7, 240lb (201cm, 108kg) 
Garoppolo, Jimmy;6-2, 225lb (188cm, 102kg) 
Brady, Tom;6-4, 225lb (193cm, 102kg) 
Flynn, Matt;6-2, 228lb (188cm, 103kg) 
Schaub, Matt;6-6, 245lb (198cm, 111kg) 
McCown, Luke;6-4, 217lb (193cm, 98kg) 
Webb, Joe;6-4, 231lb (193cm, 104kg) 
Vick, Michael;6-0, 210lb (183cm, 95kg) 
Weeden, Brandon;6-3, 227lb (190cm, 102kg) 
Clausen, Jimmy;6-3, 217lb (190cm, 98kg) 
Hoyer, Brian;6-2, 216lb (188cm, 97kg) 
Manziel, Johnny;6-0, 207lb (183cm, 93kg) 
Thomas, Logan;6-6, 250lb (198cm, 113kg) 
Jackson, Tarvaris;6-2, 225lb (188cm, 102kg) 
Anderson, Derek;6-6, 235lb (198cm, 106kg) 
Stanton, Drew;6-3, 226lb (190cm, 102kg) 
McCoy, Colt;6-1, 212lb (185cm, 96kg) 
Locker, Jake;6-2, 228lb (188cm, 103kg) 
Fitzpatrick, Ryan;6-2, 221lb (188cm, 100kg) 
Savage, Tom;6-4, 230lb (193cm, 104kg) 
Mettenberger, Zach;6-5, 224lb (196cm, 101kg) 
Campbell, Jason;6-5, 235lb (196cm, 106kg) 
Barkley, Matt;6-2, 234lb (188cm, 106kg) 
Nassib, Ryan;6-2, 227lb (188cm, 102kg) 
Davis, Austin;6-2, 221lb (188cm, 100kg) 
Mallett, Ryan;6-6, 240lb (198cm, 108kg) 
Palmer, Carson;6-5, 235lb (196cm, 106kg) 
Glennon, Mike;6-7, 225lb (201cm, 102kg) 
Foles, Nick;6-6, 262lb (198cm, 118kg) 
Clemens, Kellen;6-2, 220lb (188cm, 99kg) 
Gabbert, Blaine;6-5, 235lb (196cm, 106kg) 
Cousins, Kirk;6-3, 205lb (190cm, 92kg) 
Gradkowski, Bruce;6-1, 217lb (185cm, 98kg) 
Taylor, Tyrod;6-1, 217lb (185cm, 98kg) 
Ponder, Christian;6-2, 222lb (188cm, 100kg) 
Cassel, Matt;6-4, 225lb (193cm, 102kg) 
Yates, T.J.;6-4, 215lb (193cm, 97kg) 
Bradford, Sam;6-4, 224lb (193cm, 101kg) 
Winston, Jameis;6-4, 231lb (193cm, 104kg) 
McCarron, A.J.;6-3, 220lb (190cm, 99kg) 
Tanney, Alex;6-4, 220lb (193cm, 99kg) 
Daniels, B.J.;5-11, 217lb (180cm, 98kg) 
Tolzien, Scott;6-3, 205lb (190cm, 92kg) 
Mariota, Marcus;6-1, 190lb (185cm, 86kg) 
Siemian, Trevor;6-3, 220lb (190cm, 99kg) 
Renfree, Sean;6-3, 219lb (190cm, 99kg) 
Mannion, Sean;6-6, 230lb (198cm, 104kg) 
Orlovsky, Dan;6-5, 215lb (196cm, 97kg) 
Wentz, Carson;6-5, 237lb (196cm, 107kg) 
Cook, Connor;6-4, 215lb (193cm, 97kg) 
Goff, Jared;6-4, 217lb (193cm, 98kg) 
Boykin, Trevone;6-0, 213lb (183cm, 96kg) 
Fales, David;6-2, 210lb (188cm, 95kg) 
Kessler, Cody;6-1, 215lb (185cm, 97kg) 
Hundley, Brett;6-3, 226lb (190cm, 102kg) 
Lynch, Paxton;6-7, 244lb (201cm, 110kg) 
Hogan, Kevin;6-3, 218lb (190cm, 98kg) 
Brissett, Jacoby;6-4, 235lb (193cm, 106kg) 
Kizer, DeShone;6-4, 235lb (193cm, 106kg) 
Mahomes, Patrick;6-2, 225lb (188cm, 102kg) 
Sudfeld, Nate;6-6, 227lb (198cm, 102kg) 
Trubisky, Mitchell;6-2, 220lb (188cm, 99kg) 
Callahan, Joe;6-1, 216lb (185cm, 97kg) 
Bray, Tyler;6-6, 223lb (198cm, 101kg) 
Heinicke, Taylor;6-1, 210lb (185cm, 95kg) 
Peterman, Nathan;6-2, 225lb (188cm, 102kg) 
Rudock, Jake;6-3, 212lb (190cm, 96kg) 
Beathard, C.J.;6-2, 215lb (188cm, 97kg) 
Rush, Cooper;6-3, 225lb (190cm, 102kg) 
Watson, Deshaun;6-2, 215lb (188cm, 97kg) 
Jackson, Lamar;6-2, 212lb (188cm, 96kg) 
