1,2,3,4,5,6,7,8,9,10,11,12
LWR,13,"Davis, Gabe 20/4",,,,,,,,,BUF
RWR,14,"Diggs, Stefon T/Min",10,"Shakir, Khalil 22/5",,,,,,,BUF
SWR,16,"Sherfield, Trent U/Mia",11,"Harty, Deonte U/NO",,,,,,,BUF
LT,73,"Dawkins, Dion 17/2",74,"Van Demark, Ryan SF22",,,,,,,BUF
LG,66,"McGovern, Connor U/Dal",76,"Edwards, David U/LAR",,,,,,,BUF
C,60,"MORSE, MITCH U/KC",71,"Bates, Ryan T/Phi",,,,,,,BUF
RG,64,"Torrence, O'Cyrus 23/2",70,"Anderson, Alec CF22",,,,,,,BUF
RT,79,"Brown, Spencer 21/3",68,"Ifedi, Germain SF23",,,,,,,BUF
TE,88,"Knox, Dawson 19/3",86,"Kincaid, Dalton 23/1",85,"Morris, Quintin CF21",,,,,BUF
QB,17,"Allen, Josh 18/1",9,"Allen, Kyle U/Hou",,,,,,,BUF
RB,4,"Cook, James 22/2",22,"Harris, Damien U/NE",28,"MURRAY, LATAVIUS U/Den",,,,,BUF
FB,41,"Gilliam, Reggie CF20",,,,,,,,,BUF
LWR,17,"Waddle, Jaylen 21/1",11,"Wilson Jr., Cedrick U/Dal",,,,,,,MIA
RWR,10,"Hill, Tyreek T/KC",85,"Cracraft, River SF22",,,,,,,MIA
SWR,00,"Berrios, Braxton CC/NYJ",18,"Ezukanma, Erik 22/4",,,,,,,MIA
LT,72,"ARMSTEAD, TERRON U/NO",70,"LAMM, KENDALL SF22",,,,,,,MIA
LG,77,"Wynn, Isaiah U/NE",,,,,,,,,MIA
C,58,"Williams, Connor U/Dal",74,"Eichenberg, Liam 21/2",,,,,,,MIA
RG,68,"Hunt, Robert 20/2",66,"Cotton, Lester SF22",,,,,,,MIA
RT,73,"Jackson, Austin 20/1",71,"Smith, Kion SF21",,,,,,,MIA
TE,81,"Smythe, Durham 18/4",48,"KROFT, TYLER U/SF",89,"Hill, Julian CF23",,,,,MIA
QB,1,"Tagovailoa, Tua 20/1",14,"White, Mike U/NYJ",19,"Thompson, Skylar 22/7",,,,,MIA
RB,31,"MOSTERT, RAHEEM U/SF",28,"Achane, De'Von 23/3",26,"Ahmed, Salvon W/SF",33,"Brooks, Chris CF23",,,MIA
FB,30,"Ingold, Alec U/LV",,,,,,,,,MIA
LWR,1,"PARKER, DEVANTE T/Mia",18,"SLATER, MATTHEW 08/5",,,,,,,NE
