Pos;1;2;3;4;5;Team;Month;Year
LWR;Davis, Gabe;0;0;0;0;BUF;9;2023
RWR;Diggs, Stefon;Shakir, Khalil;0;0;0;BUF;9;2023
SWR;Sherfield, Trent;Harty, Deonte;0;0;0;BUF;9;2023
LWR;Waddle, Jaylen;Wilson Jr.,;0;0;0;MIA;9;2023
RWR;Hill, Tyreek;Cracraft, River;0;0;0;MIA;9;2023
SWR;Berrios, Braxton;Ezukanma, Erik;0;0;0;MIA;9;2023
LWR;Parker, Devante;Slater, Matthew;0;0;0;NE;9;2023
RWR;Bourne, Kendrick;Boutte, Kayshon;0;0;0;NE;9;2023
SWR;Smith-schuster, Juju;Douglas, Demario;0;0;0;NE;9;2023
LWR;Wilson, Garrett;Charles, Irvin;0;0;0;NYJ;9;2023
RWR;Lazard, Allen;Brownlee, Jason;0;0;0;NYJ;9;2023
SWR;Hardman Jr.,;Cobb, Randall;Gipson, Xavier;0;0;NYJ;9;2023
LWR;Gallup, Michael;Brooks, Jalen;0;0;0;DAL;9;2023
RWR;Cooks, Brandin;Tolbert, Jalen;0;0;0;DAL;9;2023
SWR;Lamb, Ceedee;Turpin, Kavontae;0;0;0;DAL;9;2023
LWR;Hodgins, Isaiah;Hyatt, Jalin;0;0;0;NYG;9;2023
RWR;Slayton, Darius;Shepard, Sterling;0;0;0;NYG;9;2023
SWR;Campbell, Parris;Robinson, Wan'dale;0;0;0;NYG;9;2023
LWR;Brown, A.j.;0;0;0;0;PHI;9;2023
RWR;Smith, Devonta;0;0;0;0;PHI;9;2023
SWR;Zaccheaus, Olamide;Watkins, Quez;0;0;0;PHI;9;2023
LWR;Mclaurin, Terry;Pringle, Byron;0;0;0;WAS;9;2023
RWR;Dotson, Jahan;Brown, Dyami;0;0;0;WAS;9;2023
SWR;Samuel, Curtis;Milne, Dax;Tinsley, Mitchell;0;0;WAS;9;2023
LWR;Beckham Jr.,;Duvernay, Devin;0;0;0;BAL;9;2023
RWR;Bateman, Rashod;Agholor, Nelson;0;0;0;BAL;9;2023
SWR;Flowers, Zay;Wallace, Tylan;0;0;0;BAL;9;2023
LWR;Chase, Ja'marr;Iosivas, Andrei;0;0;0;CIN;9;2023
RWR;Higgins, Tee;Irwin, Trenton;0;0;0;CIN;9;2023
SWR;Boyd, Tyler;Jones, Charlie;0;0;0;CIN;9;2023
LWR;Cooper, Amari;Tillman, Cedric;0;0;0;CLE;9;2023
RWR;Peoples-jones, Donovan;Goodwin, Marquise;0;0;0;CLE;9;2023
SWR;Moore, Elijah;Bell, David;0;0;0;CLE;9;2023
LWR;Johnson, Diontae;Boykin, Miles;0;0;0;PIT;9;2023
RWR;Pickens, George;Austin Iii,;0;0;0;PIT;9;2023
SWR;Robinson Ii,;Olszewski, Gunner;0;0;0;PIT;9;2023
LWR;Moore, Dj;Jones Jr.,;0;0;0;CHI;9;2023
RWR;Claypool, Chase;Scott, Tyler;0;0;0;CHI;9;2023
SWR;Mooney, Darnell;St. Brown,;Taylor, Trent;0;0;CHI;9;2023
LWR;Reynolds, Josh;Green, Antoine;0;0;0;DET;9;2023
RWR;Jones Jr.,;0;0;0;0;DET;9;2023
SWR;St. Brown,;Raymond, Kalif;0;0;0;DET;9;2023
LWR;Watson, Christian;Heath, Malik;0;0;0;GB;9;2023
RWR;Doubs, Romeo;Wicks, Dontayvion;0;0;0;GB;9;2023
SWR;Reed, Jayden;Toure, Samori;0;0;0;GB;9;2023
LWR;Jefferson, Justin;0;0;0;0;MIN;9;2023
RWR;Addison, Jordan;Nailor, Jalen;0;0;0;MIN;9;2023
SWR;Osborn, K.j.;Powell, Brandon;0;0;0;MIN;9;2023
LWR;Collins, Nico;Hutchinson, Xavier;0;0;0;HOU;9;2023
RWR;Woods, Robert;Dell, Tank;0;0;0;HOU;9;2023
SWR;Brown, Noah;Metchie Iii,;0;0;0;HOU;9;2023
LWR;Pittman Jr.,;0;0;0;0;IND;9;2023
RWR;Pierce, Alec;0;0;0;0;IND;9;2023
SWR;Mckenzie, Isaiah;Downs, Josh;0;0;0;IND;9;2023
LWR;Ridley, Calvin;Cooks, Elijah;0;0;0;JAX;9;2023
RWR;Jones, Zay;Jones, Tim;0;0;0;JAX;9;2023
SWR;Kirk, Christian;Agnew, Jamal;Washington, Parker;0;0;JAX;9;2023
LWR;Hopkins, Deandre;Dowell, Colton;0;0;0;TEN;9;2023
RWR;Burks, Treylon;Moore, Chris;0;0;0;TEN;9;2023
SWR;Westbrook-ikhine, Nick;Jackson, Kearis;0;0;0;TEN;9;2023
LWR;London, Drake;Ali, Josh;0;0;0;ATL;9;2023
RWR;Hollins, Mack;0;0;0;0;ATL;9;2023
SWR;Hodge, Khadarel;Miller, Scotty;0;0;0;ATL;9;2023
LWR;Chark Jr.,;Marshall Jr.,;0;0;0;CAR;9;2023
RWR;Mingo, Jonathan;Shenault Jr.,;0;0;0;CAR;9;2023
SWR;Thielen, Adam;Smith-marsette, Ihmir;0;0;0;CAR;9;2023
LWR;Thomas, Michael;Kirkwood, Keith;0;0;0;NO;9;2023
RWR;Olave, Chris;Perry, A.t.;0;0;0;NO;9;2023
SWR;Shaheed, Rashid;Smith, Tre'quan;0;0;0;NO;9;2023
LWR;Evans, Mike;0;0;0;0;TB;9;2023
RWR;Palmer, Trey;Jarrett, Rakim;0;0;0;TB;9;2023
SWR;Godwin, Chris;Thompkins, Deven;0;0;0;TB;9;2023
LWR;Sutton, Courtland;Johnson, Brandon;0;0;0;DEN;9;2023
RWR;Mims Jr.,;0;0;0;0;DEN;9;2023
SWR;Jeudy, Jerry;0;0;0;0;DEN;9;2023
LWR;Valdes-scantling, Marquez;Watson, Justin;Ross, Justyn;0;0;KC;9;2023
RWR;Toney, Kadarius;Rice, Rashee;0;0;0;KC;9;2023
SWR;Moore, Skyy;James, Richie;0;0;0;KC;9;2023
LWR;Adams, Davante;Tucker, Tre;0;0;0;LV;9;2023
RWR;Meyers, Jakobi;Wilkerson, Kristian;0;0;0;LV;9;2023
SWR;Renfrow, Hunter;Carter, Deandre;0;0;0;LV;9;2023
LWR;Williams, Mike;0;0;0;0;LAC;9;2023
RWR;Johnston, Quentin;Palmer, Joshua;0;0;0;LAC;9;2023
SWR;Allen, Keenan;Davis, Derius;0;0;0;LAC;9;2023
LWR;Brown, Marquise;0;0;0;0;ARZ;9;2023
RWR;Pascal, Zach;Wilson, Michael;0;0;0;ARZ;9;2023
SWR;Moore, Rondale;Dortch, Greg;0;0;0;ARZ;9;2023
LWR;Aiyuk, Brandon;0;0;0;0;SF;9;2023
RWR;Samuel, Deebo;Bell, Ronnie;0;0;0;SF;9;2023
SWR;Jennings, Jauan;Mccloud Iii,;0;0;0;SF;9;2023
LWR;Metcalf, Dk;Bobo, Jake;0;0;0;SEA;9;2023
RWR;Lockett, Tyler;Thompson, Cody;0;0;0;SEA;9;2023
SWR;Smith-njigba, Jaxon;Young, Dareke;0;0;0;SEA;9;2023
LWR;Jefferson, Van;Nacua, Puka;0;0;0;LAR;9;2023
RWR;Skowronek, Ben;Robinson, Demarcus;0;0;0;LAR;9;2023
SWR;Kupp, Cooper;Atwell, Tutu;0;0;0;LAR;9;2023
LWR;Davis, Gabe;Shorter, Justin;Coulter, Isaiah;Shavers, Tyrell;Ateman, Marcell;BUF;8;2023
RWR;Diggs, Stefon;Harty, Deonte;Patmon, Dezmon;Thompson, Bryan;0;BUF;8;2023
SWR;Sherfield, Trent;Shakir, Khalil;Johnson, Keesean;Isabella, Andy;0;BUF;8;2023
LWR;Waddle, Jaylen;Cracraft, River;Ezukanma, Erik;Coleman, Chris;0;MIA;8;2023
RWR;Hill, Tyreek;Chosen, Robbie;Sanders, Braylon;Davis, Daewood;0;MIA;8;2023
SWR;Berrios, Braxton;Wilson Jr.,;Swain, Freddie;0;0;MIA;8;2023
LWR;Parker, Devante;Bourne, Kendrick;Hurd, Jalen;Slater, Matthew;0;NE;8;2023
RWR;Thornton, Tyquan;Boutte, Kayshon;Nixon, Tre;0;0;NE;8;2023
SWR;Smith-schuster, Juju;Douglas, Demario;Webb, Raleigh;Lee, Ed;0;NE;8;2023
LWR;Wilson, Garrett;Davis, Corey;Brownlee, Jason;Kapp, Jerome;0;NYJ;8;2023
RWR;Lazard, Allen;Charles, Irvin;Taylor, Malik;Luther, T.j.;0;NYJ;8;2023
SWR;Hardman Jr.,;Cobb, Randall;Erickson, Alex;Gipson, Xavier;0;NYJ;8;2023
LWR;Gallup, Michael;Fehoko, Simi;Brooks, Jalen;Durden, David;Johnson, Tyron;DAL;8;2023
RWR;Cooks, Brandin;Tolbert, Jalen;Houston, Dennis;Stephens Jr.,;0;DAL;8;2023
SWR;Lamb, Ceedee;Turpin, Kavontae;Drummond, Dontario;Moreno-cropper, Jalen;Barbon, Jose;DAL;8;2023
LWR;Hodgins, Isaiah;Hyatt, Jalin;Johnson, Collin;Sills V,;Ford-wheaton, Bryce;NYG;8;2023
RWR;Slayton, Darius;Shepard, Sterling;Smith, Jeff;Mickens, Jaydon;0;NYG;8;2023
SWR;Campbell, Parris;Robinson, Wan'dale;Crowder, Jamison;Beasley, Cole;Pimpleton, Kalil;NYG;8;2023
LWR;Brown, A.j.;Cleveland, Tyrie;Ngata, Joseph;Cain, Deon;0;PHI;8;2023
RWR;Smith, Devonta;Covey, Britain;Allen, Devon;Rambo, Charleston;0;PHI;8;2023
SWR;Zaccheaus, Olamide;Watkins, Quez;Ward, Greg;Haselwood, Jadon;0;PHI;8;2023
LWR;Mclaurin, Terry;Pringle, Byron;Kemp, Marcus;Tremayne, Brycen;Bowens, Zion;WAS;8;2023
RWR;Dotson, Jahan;Brown, Dyami;Tinsley, Mitchell;Sample, Jalen;0;WAS;8;2023
SWR;Samuel, Curtis;Milne, Dax;Allen, Kazmeir;Mcgowan, Kyric;0;WAS;8;2023
LWR;Beckham Jr.,;Duvernay, Devin;Treadwell, Laquon;Demus Jr.,;Polk, Makai;BAL;8;2023
RWR;Bateman, Rashod;Agholor, Nelson;Bridges, Shemar;Black, Tarik;Ryan, Sean;BAL;8;2023
SWR;Flowers, Zay;Wallace, Tylan;Proche Ii,;0;0;BAL;8;2023
LWR;Chase, Ja'marr;Irwin, Trenton;Lassiter Ii,;Jackson, Shedrick;0;CIN;8;2023
RWR;Higgins, Tee;Iosivas, Andrei;Morgan, Stanley;Carter, Malachi;0;CIN;8;2023
SWR;Boyd, Tyler;Jones, Charlie;Taylor, Trent;Hippenhammer, Mac;0;CIN;8;2023
LWR;Cooper, Amari;Tillman, Cedric;Schwartz, Anthony;Woods Ii,;Henry, Ra'shaun;CLE;8;2023
RWR;Peoples-jones, Donovan;Goodwin, Marquise;Bell, David;Baldwin, Daylen;Watkins Jr.,;CLE;8;2023
SWR;Moore, Elijah;Grant Sr.,;Darden, Jaelon;Harley Jr.,;0;CLE;8;2023
LWR;Johnson, Diontae;Boykin, Miles;White, Cody;Chisena, Dan;0;PIT;8;2023
RWR;Pickens, George;Butler, Hakeem;Bradley, Ja'marcus;Fitzpatrick, Dez;0;PIT;8;2023
SWR;Robinson Ii,;Austin Iii,;Olszewski, Gunner;Byrd, Jordan;0;PIT;8;2023
LWR;Moore, Dj;St. Brown,;Pettis, Dante;Reed, Joe;0;CHI;8;2023
RWR;Claypool, Chase;Jones Jr.,;Fountain, Daurice;Ford, Isaiah;0;CHI;8;2023
SWR;Mooney, Darnell;Scott, Tyler;Webster, Nsimba;Cruickshank, Aron;0;CHI;8;2023
LWR;Reynolds, Josh;Green, Antoine;Drummond, Dylan;0;0;DET;8;2023
RWR;Jones Jr.,;Mims, Denzel;Benson, Trinity;Cota, Chase;0;DET;8;2023
SWR;St. Brown,;Raymond, Kalif;Alexander, Maurice;Quinn, Trey;0;DET;8;2023
LWR;Watson, Christian;Wicks, Dontayvion;Watts, Duece;Chrest, Cody;0;GB;8;2023
RWR;Doubs, Romeo;Heath, Malik;Dubose, Grant;Bonds, Jadakis;0;GB;8;2023
SWR;Reed, Jayden;Toure, Samori;Melton, Bo;0;0;GB;8;2023
LWR;Jefferson, Justin;Reagor, Jalen;Jackson, Trishton;Maag, Garett;0;MIN;8;2023
RWR;Addison, Jordan;Nailor, Jalen;Proehl, Blake;Johnson Iii,;0;MIN;8;2023
SWR;Osborn, K.j.;Powell, Brandon;Thomas, Thayer;Jackson, Lucky;0;MIN;8;2023
LWR;Collins, Nico;Hutchinson, Xavier;Camp, Jalen;Wayne, Jared;0;HOU;8;2023
RWR;Metchie Iii,;Brown, Noah;Johnson Iii,;Bachman, Alex;0;HOU;8;2023
SWR;Woods, Robert;Dell, Tank;Sims, Steven;Matthews, Jesse;0;HOU;8;2023
LWR;Pittman Jr.,;Strachan, Mike;Perriman, Breshad;Winfree, Juwann;King, Johnny;IND;8;2023
RWR;Pierce, Alec;Dulin, Ashton;Smith, Vyncint;Turner, Malik;Case, Kody;IND;8;2023
SWR;Mckenzie, Isaiah;Downs, Josh;Fernea, Ethan;Scott, Zavier;0;IND;8;2023
LWR;Ridley, Calvin;Jones, Tim;Williams, Seth;Cooks, Elijah;Martin, Oliver;JAX;8;2023
RWR;Jones, Zay;Austin Jr.,;Harris, Jacob;Jenkins, Jaray;0;JAX;8;2023
SWR;Kirk, Christian;Agnew, Jamal;Washington, Parker;Pryor, Kendric;0;JAX;8;2023
LWR;Hopkins, Deandre;Mcmath, Racey;Dowell, Colton;Harrison, Tre'shaun;Holmes, Gavin;TEN;8;2023
RWR;Burks, Treylon;Moore, Chris;Roberson Jr.,;Copeland, Jacob;0;TEN;8;2023
SWR;Westbrook-ikhine, Nick;Philips, Kyle;Kinsey, Mason;Jackson, Kearis;0;TEN;8;2023
LWR;London, Drake;Darby, Frank;Arcega-whiteside, J.j.;Blair, Chris;0;ATL;8;2023
RWR;Hollins, Mack;Hodge, Khadarel;Harris, Keilahn;Bolden, Slade;0;ATL;8;2023
SWR;Miller, Scott;Hart, Penny;Ali, Josh;Malone, Xavier;0;ATL;8;2023
LWR;Marshall Jr.,;Mingo, Jonathan;Wright, Derek;Wims, Javon;0;CAR;8;2023
RWR;Chark Jr.,;Shenault Jr.,;Byrd, Damiere;Jennings, Gary;0;CAR;8;2023
SWR;Thielen, Adam;Smith, Shi;Saunders, C.j.;Vann, Josh;0;CAR;8;2023
LWR;Thomas, Michael;Edwards, Bryan;Kirkwood, Keith;Davis, Shaquan;0;NO;8;2023
RWR;Olave, Chris;Perry, A.t.;Merritt, Kirk;Baker, Kawaan;0;NO;8;2023
SWR;Shaheed, Rashid;Smith, Tre'quan;Washington, James;Bowden, Lynn;Coutee, Keke;NO;8;2023
LWR;Evans, Mike;Geiger, Kaylon;Warner, Kade;0;0;TB;8;2023
RWR;Godwin, Chris;Thompkins, Deven;Moore, David;Miller, Ryan;0;TB;8;2023
SWR;Gage, Russell;Palmer, Trey;Jarrett, Rakim;Barber, Taye;0;TB;8;2023
LWR;Sutton, Courtland;Callaway, Marquez;Virgil, Jalen;Johnson, Brandon;0;DEN;8;2023
RWR;Patrick, Tim;Mims Jr.,;Bandy, Michael;Grimes, Taylor;0;DEN;8;2023
SWR;Jeudy, Jerry;Hinton, Kendall;Humphrey, Lil'jordan;Washington, Montrell;0;DEN;8;2023
LWR;Valdes-scantling, Marquez;Watson, Justin;Powell, Cornell;Crawford, Kekoa;Scott, Ty;KC;8;2023
RWR;Toney, Kadarius;Rice, Rashee;Ross, Justyn;Fryfogle, Ty;0;KC;8;2023
SWR;Moore, Skyy;James, Richie;Smith-marsette, Ihmir;Ealy, Jerrion;Remigio, Nikko;KC;8;2023
LWR;Adams, Davante;Cole Sr.,;Lacy, Chris;Wilkerson, Kristian;0;LV;8;2023
RWR;Meyers, Jakobi;Dorsett, Phillip;Sims, Cam;0;0;LV;8;2023
SWR;Renfrow, Hunter;Carter, Deandre;Tucker, Tre;Turner, Dj;0;LV;8;2023
LWR;Williams, Mike;Guyton, Jalen;Doss, Keelan;Wright, Milton;0;LAC;8;2023
RWR;Johnston, Quentin;Palmer, Joshua;Hightower, John;Wilson, Pokey;0;LAC;8;2023
SWR;Allen, Keenan;Davis, Derius;Bynum, Terrell;Shepherd, Darrius;0;LAC;8;2023
LWR;Brown, Marquise;Wilson, Michael;Arias, Daniel;Davis, Kaden;0;ARZ;8;2023
RWR;Moore, Rondale;Baccellia, Andre;Smith, Brandon;0;0;ARZ;8;2023
SWR;Dortch, Greg;Pascal, Zach;Cobbs, Brian;Davis, Davion;0;ARZ;8;2023
LWR;Aiyuk, Brandon;Gray, Danny;Martin, Tay;Winstead, Isaiah;0;SF;8;2023
RWR;Samuel, Deebo;Conley, Chris;Snead Iv,;Newsome, Dazz;0;SF;8;2023
SWR;Jennings, Jauan;Mccloud Iii,;Bell, Ronnie;0;0;SF;8;2023
LWR;Metcalf, Dk;Young, Dareke;Landers, Matt;Bobo, Jake;0;SEA;8;2023
RWR;Lockett, Tyler;Thompson, Cody;Winston Jr.,;Hall, John;0;SEA;8;2023
SWR;Smith-njigba, Jaxon;Eskridge, Dee;Johnson, Cade;Lindsey, Tyjon;0;SEA;8;2023
LWR;Skowronek, Ben;Robinson, Demarcus;Mccutcheon, Lance;Hudson, Tyler;0;LAR;8;2023
RWR;Jefferson, Van;Nacua, Puka;Johnson, Tyler;Burmeister, Braxton;0;LAR;8;2023
SWR;Kupp, Cooper;Atwell, Tutu;Trammell, Austin;Smith, Xavier;0;LAR;8;2023
LWR;Davis, Gabe;Shorter, Justin;Coulter, Isaiah;Shavers, Tyrell;Ateman, Marcell;BUF;7;2023
RWR;Diggs, Stefon;Harty, Deonte;Patmon, Dezmon;Thompson, Bryan;Wayne, Jalen;BUF;7;2023
SWR;Sherfield, Trent;Shakir, Khalil;Johnson, Keesean;0;0;BUF;7;2023
